egw,84,39100,842,dvk
krw,69,37960,827,fwk
egw,80,36260,1671,egw
sdt,75,33960,1693,wer
ewr,71,16720,983,egw
krw,78,11800,1653,fwk
krw,78,14100,1727,fwe
ter,77,32680,1520,dff
ewr,75,29120,50,egw
kwr,81,40180,323,fwe
ewr,75,36420,374,fwe
egw,85,39780,1123,ewq
ewr,84,9280,1531,dff
rte,79,27760,777,fwe
ter,69,9920,1403,dvk
ewr,77,32780,720,egw
kwr,62,25900,1794,fwk
ter,81,24620,1747,egw
ewr,64,23600,1329,fwe
rte,67,17540,1306,fwk
ewr,82,39360,1012,dff
egw,63,11460,1371,ewq
ter,77,20500,1300,fdj
egw,76,11860,1781,fwk
kwr,68,33120,1684,ewq
krw,85,12420,710,egw
rte,87,39920,284,ewq
ter,85,33980,393,fwk
egw,77,18420,1795,egw
ter,65,7180,278,fdj
krw,75,1200,1084,dff
rte,72,31300,1398,ewq
egw,64,7920,1694,wer
hrh,74,8860,670,dff
rte,81,40060,1264,dff
egw,82,10620,641,wer
ter,70,25380,1068,fdj
egw,70,21260,60,fwk
ter,77,40420,532,fdj
sdt,70,1500,1043,dff
ter,87,32380,70,fwk
hrh,68,37080,982,fdj
rte,69,3440,1476,egw
ter,80,19820,226,fwe
rte,87,12120,1693,dvk
rte,79,15900,1483,ewq
sdt,77,4260,177,wer
ewr,66,3100,1214,dvk
krw,74,14000,269,fwk
hrh,72,32540,883,fdj
kwr,72,21460,880,egw
ter,61,27640,1145,fdj
kwr,88,10220,694,dvk
hrh,65,22800,1766,egw
ewr,62,25080,447,egw
ewr,85,36280,868,ewq
ter,61,39420,691,egw
kwr,76,1240,270,egw
ewr,71,28140,667,fwk
ewr,76,14620,1610,dvk
rte,84,13300,499,fwe
hrh,65,38680,753,fdj
kwr,83,27200,775,ewq
ewr,67,13800,809,dff
rte,79,18780,1169,wer
kwr,63,38320,262,wer
ter,64,2380,639,dff
sdt,62,39680,841,dvk
hrh,62,13760,659,wer
krw,73,13200,787,ewq
ewr,69,11420,1014,ewq
hrh,65,27620,224,egw
hrh,86,8000,1072,egw
ewr,79,16700,1133,wer
sdt,76,20980,911,dvk
krw,76,4940,535,dff
ewr,67,11480,1532,egw
hrh,68,35780,861,dff
kwr,69,23660,1741,egw
sdt,77,38380,274,fwk
ewr,73,10040,650,dvk
hrh,72,40520,1122,dvk
sdt,64,23700,660,egw
hrh,79,28620,899,dff
krw,81,28080,398,dvk
krw,70,26440,570,egw
sdt,83,17920,650,fdj
hrh,74,25920,874,ewq
krw,83,3200,1118,fwe
hrh,83,6460,1439,fwe
krw,61,26180,1578,egw
ter,73,30700,665,dvk
krw,75,38860,160,fwe
sdt,77,36100,1031,fdj
krw,73,31880,1129,wer
egw,84,19220,1238,fdj
sdt,74,28800,342,fwk
ter,63,22380,573,ewq
hrh,87,14260,1009,egw
egw,85,20580,1586,wer
ewr,65,39560,1018,fwk
ewr,72,10640,744,dff
hrh,81,8360,1204,fwk
sdt,78,20320,634,fwk
krw,78,21060,86,wer
hrh,72,10680,156,wer
krw,69,21380,662,ewq
rte,67,1860,559,ewq
hrh,74,8040,366,ewq
kwr,88,35120,1772,fwe
krw,65,14120,774,wer
ewr,61,13140,488,egw
hrh,85,3340,957,fdj
kwr,78,13540,589,fdj
egw,87,14420,411,fwe
ter,61,12500,721,fwe
ewr,68,28520,1268,wer
sdt,88,16500,735,ewq
ewr,90,21120,184,dvk
kwr,63,36080,909,fwk
ter,90,40380,846,dff
ewr,68,5720,312,dvk
sdt,83,5340,1400,wer
egw,68,35160,1697,ewq
kwr,90,7280,795,dff
egw,62,33140,1303,egw
sdt,74,15360,723,fwe
ewr,87,6380,1615,wer
egw,73,29060,1301,wer
sdt,73,17960,168,egw
hrh,66,33940,1306,fwe
rte,88,39240,121,dff
egw,62,30560,1356,wer
krw,71,38740,1432,fdj
krw,90,34140,538,egw
rte,88,35540,938,ewq
krw,78,29700,767,fwk
hrh,62,25620,1381,egw
rte,66,35900,1309,dvk
egw,86,18880,94,fwk
rte,61,5360,552,wer
kwr,82,34380,1172,dvk
rte,72,3780,617,egw
sdt,61,35520,414,fwk
rte,77,27400,1550,dff
sdt,86,13900,294,egw
kwr,79,2420,755,fwk
ter,84,15880,565,dvk
kwr,63,13560,797,dff
sdt,83,31580,649,fwk
egw,90,12680,331,egw
krw,68,28320,1591,fdj
rte,83,17460,515,dff
rte,77,16920,291,fdj
egw,80,17820,830,egw
ter,78,35500,376,ewq
hrh,90,17660,1461,wer
kwr,62,960,605,fwe
rte,66,3620,606,egw
kwr,85,20200,695,fwe
hrh,62,7840,502,fdj
kwr,84,35760,497,wer
ter,86,25320,1518,dvk
kwr,62,34320,1278,fdj
ewr,71,15000,1549,ewq
sdt,84,23780,1693,wer
sdt,87,20860,579,fwk
hrh,79,2620,536,dff
sdt,70,26100,636,wer
rte,65,34680,1251,egw
hrh,66,29800,1111,ewq
rte,64,30580,1312,egw
rte,70,22060,670,wer
ewr,89,19040,111,wer
ter,81,12780,1119,fwk
hrh,76,4200,1454,egw
hrh,84,27100,407,egw
sdt,65,25520,168,ewq
hrh,61,25800,974,dff
rte,68,33240,846,dff
kwr,86,38780,655,dvk
hrh,84,13460,1581,fwe
ter,77,36240,216,fdj
sdt,90,4440,1470,fdj
hrh,84,24340,482,fwe
kwr,70,12260,478,egw
rte,83,12320,762,dff
ter,61,6640,1310,wer
kwr,87,18480,1277,fwk
ewr,65,10900,958,fdj
ewr,85,33740,1531,fwe
rte,80,38940,1559,fwk
rte,73,14280,1368,dff
hrh,89,21640,511,fwk
rte,79,24960,1194,fdj
hrh,67,2480,218,fwk
krw,64,24860,1274,wer
sdt,74,26960,321,ewq
ewr,66,1460,725,dff
rte,81,16260,416,dff
hrh,68,1680,1132,fdj
kwr,73,20780,1496,fdj
kwr,67,1540,1485,dff
ewr,70,26400,59,egw
krw,66,8400,1407,wer
ter,75,29300,1347,dvk
hrh,87,28260,1392,fdj
kwr,83,39880,596,ewq
rte,61,12960,426,wer
krw,78,40000,775,dff
sdt,88,22860,1154,fdj
kwr,88,33760,97,dvk
sdt,73,32560,774,egw
hrh,62,2700,399,fdj
sdt,62,13080,1592,dvk
kwr,68,2460,1260,ewq
sdt,75,32080,1003,wer
egw,75,2680,1377,fwe
ter,68,5120,110,fwk
rte,71,36120,1215,ewq
kwr,81,29220,1304,fwk
kwr,84,18120,439,fwk
ter,63,17500,243,fwk
krw,63,38500,449,fdj
kwr,80,29040,1748,dvk
rte,77,5640,1487,ewq
krw,75,7580,1335,ewq
egw,76,3000,678,fwk
kwr,73,9240,1401,dvk
egw,86,18540,320,dff
ewr,65,31080,1545,ewq
sdt,85,39200,66,fwk
krw,87,22020,706,ewq
rte,82,16140,1502,dvk
hrh,86,18040,454,ewq
kwr,80,10160,757,dvk
rte,74,33260,1080,fdj
egw,85,16420,1169,fdj
rte,89,37940,959,ewq
egw,69,33560,1646,egw
ter,86,13500,986,dff
ewr,78,1000,1267,wer
sdt,79,40080,1633,wer
egw,67,26940,349,fwk
ewr,71,19580,821,fwe
kwr,83,19140,1512,fwk
hrh,82,9880,1295,fwk
sdt,86,12180,251,fwe
kwr,88,36620,1605,fwe
egw,85,16060,1023,dvk
sdt,86,26580,1541,ewq
kwr,89,8640,1178,dff
egw,82,28200,1685,egw
egw,71,17780,1508,fdj
hrh,87,39040,44,fdj
